State,Capital,Population
Aguascalientes,Aguascalientes,1184996
Baja California Norte,Mexicali,3155070
Baja California Sur,La Paz,637026
Campeche,San Francisco de Campeche,822441
Chiapas,Tuxtla Gutiérrez,4796580
Mexico City,—,8918653
Chihuahua,Chihuahua,3406465
Coahuila,Saltillo,2748391
Colima,Colima,650555
Durango,Victoria de Durango,1632934
Guanajuato,Guanajuato,5486372
Guerrero,Chilpancingo de los Bravo,3388768
Hidalgo,Pachuca,2665018
Jalisco,Guadalajara,7350682
México,Toluca de Lerdo,15175862
Michoacán,Morelia,4351037
Morelos,Cuernavaca,1777227
Nayarit,Tepic,1084979
Nuevo León,Monterrey,4653458
Oaxaca,Oaxaca de Juárez,3801962
Puebla,Puebla de Zaragoza,5779829
Querétaro,Santiago de Querétaro,1827937
Quintana Roo,Chetumal,1325578
San Luis Potosí,San Luis Potosí,2585518
Sinaloa,Culiacán,3216000
Sonora,Hermosillo,2662480
Tabasco,Villahermosa,2238603
Tamaulipas,Ciudad Victoria,3268554
Tlaxcala,Tlaxcala,1169936
Veracruz,Xalapa,7643194
Yucatán,Mérida,1955577
Zacatecas,Zacatecas,1490668
